time,ax,ay,az,atotal,wx,wy,wz,type,lon,lat
2022-12-08 21:22:34+00:00,-0.5503076923076924,-0.9566153846153846,-0.0696923076923076,5.279857074333761,0.01,-0.02,-0.08,ankle,-123.17817207390536,49.26508025596654
2022-12-08 21:22:35+00:00,0.985,0.668,0.5254285714285715,5.228263735080252,-0.03,-0.04,-0.09,ankle,-123.17815082925979,49.265081498522115
2022-12-08 21:22:36+00:00,-0.8959016393442623,-0.0798360655737704,0.0036065573770491,5.160940779238644,-0.07,-0.04,-0.08,ankle,-123.17812929700091,49.26508078119232
2022-12-08 21:22:37+00:00,-0.3185714285714285,-0.864,-0.0645714285714285,5.0990273046873735,-0.09,-0.03,-0.07,ankle,-123.17810663956932,49.26507960594473
2022-12-08 21:22:38+00:00,0.2150746268656716,0.8149253731343283,0.1249253731343283,5.054927984981287,-0.08,-0.01,-0.05,ankle,-123.17808406240282,49.26507991285733
2022-12-08 21:22:39+00:00,-0.6603174603174603,-0.7576190476190475,-0.1377777777777777,5.029605974832443,-0.05,-0.01,-0.05,ankle,-123.1780623868592,49.265080102335055
2022-12-08 21:22:40+00:00,0.2365714285714285,-0.0334285714285714,0.4841428571428571,5.013168265222233,-0.01,-0.03,-0.05,ankle,-123.17804275008493,49.265080603701136
2022-12-08 21:22:41+00:00,0.1614925373134328,0.646865671641791,-0.4691044776119403,4.98934772892696,0.03,-0.1,-0.08,ankle,-123.1780271736822,49.265080549596036
2022-12-08 21:22:42+00:00,-0.5396875000000001,-0.961875,-0.25390625,4.9459623260621175,0.05,-0.17,-0.1,ankle,-123.17801664147115,49.26508039627525
2022-12-08 21:22:43+00:00,0.748,0.6515714285714286,0.1912857142857142,4.8848133086005205,0.07,-0.18,-0.11,ankle,-123.17800865804212,49.26508041066825
2022-12-08 21:22:44+00:00,-1.0521538461538462,-0.3604615384615384,-0.2576923076923076,4.820569616522684,0.07,-0.14,-0.12,ankle,-123.17800733605281,49.265077640953756
2022-12-08 21:22:45+00:00,0.2147692307692308,-0.556923076923077,0.4455384615384615,4.76869591272471,0.06,-0.06,-0.1,ankle,-123.17800146709254,49.26507537416182
2022-12-08 21:22:46+00:00,0.2861428571428571,0.9525714285714286,-0.0197142857142857,4.734544816134735,0.03,0.03,-0.06,ankle,-123.17799148012769,49.26507243277097
2022-12-08 21:22:47+00:00,-0.98390625,-0.62515625,-0.09265625,4.712649524481863,0.01,0.06,-0.04,ankle,-123.17797701564211,49.265069197190996
2022-12-08 21:22:48+00:00,1.02044776119403,0.2919402985074627,0.2792537313432836,4.694302856047653,0.0,0.05,-0.03,ankle,-123.17796118243626,49.265064507118474
2022-12-08 21:22:49+00:00,-0.9681159420289854,-0.286231884057971,-0.2972463768115941,4.67657431946574,0.02,0.0,-0.02,ankle,-123.17794938655511,49.265057814728806
2022-12-08 21:22:50+00:00,-0.0984126984126984,-0.3873015873015873,0.2573015873015873,4.665730259346442,0.07,-0.04,-0.03,ankle,-123.17794344805498,49.26504771416225
2022-12-08 21:22:51+00:00,0.7641176470588236,0.8676470588235294,0.4027941176470588,4.669550538848296,0.13,-0.06,-0.07,ankle,-123.17794044198546,49.265035271840695
2022-12-08 21:22:52+00:00,-1.2581159420289856,-0.5065217391304349,-0.3320289855072463,4.686588017729044,0.19,-0.07,-0.11,ankle,-123.17793914316442,49.26502126461255
2022-12-08 21:22:53+00:00,0.3709523809523809,-0.409047619047619,0.3331746031746032,4.709044774997236,0.23,-0.07,-0.13,ankle,-123.17793615878261,49.26500683588254
2022-12-08 21:22:54+00:00,0.2542028985507246,0.1988405797101449,0.0052173913043478,4.737769675341198,0.26,-0.07,-0.11,ankle,-123.17793422497078,49.264991556262274
2022-12-08 21:22:55+00:00,-0.1604545454545455,-0.3004545454545454,-0.3227272727272727,4.786366340689106,0.29,0.0,-0.07,ankle,-123.17793324163254,49.264978110459595
2022-12-08 21:22:56+00:00,-0.2510769230769231,0.177076923076923,0.3349230769230769,4.8611025472653075,0.33,0.08,-0.02,ankle,-123.17793520915971,49.264966003575125
2022-12-08 21:22:57+00:00,0.3453623188405796,1.056376811594203,-0.0172463768115942,4.943409037025879,0.35,0.16,0.03,ankle,-123.17793962800232,49.26495402382254
2022-12-08 21:22:58+00:00,-0.6069117647058823,-1.4410294117647058,-0.083235294117647,5.004080402564356,0.36,0.16,0.09,ankle,-123.17794344670105,49.264941661072356
2022-12-08 21:22:59+00:00,0.636875,0.66890625,0.634375,5.0295178686135875,0.39,0.13,0.16,ankle,-123.17794403758418,49.2649284447468
2022-12-08 21:23:00+00:00,-0.1397101449275362,0.1476811594202898,-0.3769565217391304,5.027914841553486,0.45,0.08,0.26,ankle,-123.17794410738956,49.264913577778046
2022-12-08 21:23:01+00:00,-0.4063636363636363,-1.0174242424242423,-0.1498484848484848,5.0144334478829204,0.54,-0.01,0.38,ankle,-123.17794364654033,49.26489735049845
2022-12-08 21:23:02+00:00,0.71828125,0.64265625,0.336875,4.99586567512409,0.64,-0.09,0.53,ankle,-123.17794391841417,49.26488140863436
2022-12-08 21:23:03+00:00,-0.351,0.1574285714285714,-0.5304285714285715,4.970121011299838,0.76,-0.11,0.67,ankle,-123.1779443676301,49.264865287606135
2022-12-08 21:23:04+00:00,-0.373030303030303,-0.7946969696969698,0.3887878787878788,4.932935429142451,0.91,-0.03,0.82,ankle,-123.17794877977781,49.26485001767232
2022-12-08 21:23:05+00:00,0.51953125,0.5856250000000001,0.46921875,4.8774106849146035,1.1,0.17,1.0,ankle,-123.17795127044052,49.26483498071925
2022-12-08 21:23:06+00:00,-0.4814285714285715,0.2729999999999999,-0.518,4.78801729629211,1.27,0.42,1.14,ankle,-123.177951628163,49.26482006973181
2022-12-08 21:23:07+00:00,-0.6141269841269842,-1.021111111111111,0.4366666666666666,4.641599124695073,1.38,0.71,1.23,ankle,-123.17795508685768,49.26480602637749
2022-12-08 21:23:08+00:00,0.8442647058823529,0.2842647058823529,0.0188235294117647,4.416597864812557,1.41,1.0,1.33,ankle,-123.177957824875,49.26479190029346
2022-12-08 21:23:09+00:00,0.3777941176470588,-0.4180882352941177,-0.0929411764705882,4.098464982910466,1.38,1.14,1.46,ankle,-123.17796128097625,49.264776964470215
2022-12-08 21:23:10+00:00,-1.4996875,0.0140625,0.6321875,3.6859810093546233,1.23,1.15,1.52,ankle,-123.17796014122295,49.264761177270685
2022-12-08 21:23:11+00:00,-0.5642647058823529,-0.7530882352941176,-0.1151470588235294,3.205807772267762,1.04,1.25,1.49,ankle,-123.17795951949563,49.26474609753521
2022-12-08 21:23:12+00:00,0.0524285714285714,-0.9408571428571428,0.0747142857142857,2.712409740183883,0.81,1.3,1.43,ankle,-123.1779618558203,49.264732131790055
2022-12-08 21:23:13+00:00,-0.0746666666666666,0.0065333333333333,-0.0390666666666666,2.263069253925125,0.56,1.47,1.35,ankle,-123.17796620365274,49.264719204670406
2022-12-08 21:23:14+00:00,-0.0647368421052631,0.3352631578947369,-0.1019736842105263,1.8946159199583374,0.32,2.06,1.28,ankle,-123.17797091057277,49.26470654546511
2022-12-08 21:23:15+00:00,0.0352702702702702,-0.5751351351351351,0.3,1.621631269832187,0.19,2.99,1.36,ankle,-123.17797644617573,49.264693301120836
2022-12-08 21:23:16+00:00,0.0228048780487804,-0.3274390243902439,0.1815853658536585,1.4483017890964502,0.04,3.17,1.39,ankle,-123.1779811743069,49.26468085802143
2022-12-08 21:23:17+00:00,-0.2636904761904762,-0.0313095238095238,-0.166547619047619,1.3758643074768475,-0.02,2.94,1.37,ankle,-123.17798535575528,49.26466840248411
2022-12-08 21:23:18+00:00,0.3144827586206896,0.5891954022988506,0.0686206896551724,1.4021754727305227,0.04,2.69,1.34,ankle,-123.17798965450228,49.26465927962895
2022-12-08 21:23:19+00:00,0.1934523809523809,-0.0341666666666666,0.3804761904761904,1.5216822248661446,0.17,2.47,1.23,ankle,-123.17799228111399,49.26464923611994
2022-12-08 21:23:20+00:00,0.2881818181818181,-0.6711363636363636,0.0601136363636363,1.7246470726045477,0.35,2.07,0.98,ankle,-123.17799495476059,49.26463693929839
2022-12-08 21:23:21+00:00,-0.1971428571428571,0.4635714285714285,-0.4761904761904761,1.9900133788566177,0.47,1.7,0.79,ankle,-123.17799698436863,49.264623708427855
2022-12-08 21:23:22+00:00,-0.6347727272727273,1.056818181818182,0.5042045454545454,2.2787217281575334,0.48,1.69,0.65,ankle,-123.17799480227525,49.26460956500965
2022-12-08 21:23:23+00:00,0.1282978723404255,0.165,0.0432978723404255,2.5446609514141234,0.49,2.0,0.55,ankle,-123.17799179545985,49.264594684677036
2022-12-08 21:23:24+00:00,0.0539130434782608,-0.2315217391304347,-0.108695652173913,2.759390358011973,0.44,2.34,0.66,ankle,-123.17798620928131,49.26458155493103
2022-12-08 21:23:25+00:00,0.1692941176470588,-0.0983529411764705,-0.5257647058823529,2.919916360241972,0.3,2.58,0.86,ankle,-123.17797887845681,49.26456934300521
2022-12-08 21:23:26+00:00,-0.1271590909090909,0.0209090909090909,0.2051136363636363,3.0336620582170357,0.05,2.71,1.01,ankle,-123.17797297648849,49.26455278748629
2022-12-08 21:23:27+00:00,-0.1544578313253012,0.0066265060240963,0.592289156626506,3.1069437801237227,-0.23,2.65,1.14,ankle,-123.17796268011347,49.26453410355036
2022-12-08 21:23:28+00:00,-0.28125,0.0402272727272727,-0.1301136363636363,3.1481181029468956,-0.43,2.26,1.24,ankle,-123.17795166727639,49.26451664558699
2022-12-08 21:23:29+00:00,0.0129761904761904,-0.1382142857142857,-0.6746428571428572,3.176322039275078,-0.57,1.7,1.26,ankle,-123.17793639972099,49.26449934975336
2022-12-08 21:23:30+00:00,0.1695348837209302,-0.158953488372093,0.0411627906976744,3.2250578698322503,-0.84,1.11,1.22,ankle,-123.17791992019137,49.26448254936033
2022-12-08 21:23:31+00:00,-0.4101190476190476,-0.0699999999999999,0.2871428571428571,3.3341115812311455,-1.17,0.74,1.0,ankle,-123.1779087340686,49.26446719517033
2022-12-08 21:23:32+00:00,-0.0696511627906976,0.020813953488372,0.3670930232558139,3.5322896591779473,-1.53,0.78,0.87,ankle,-123.17790189390267,49.26445236050705
2022-12-08 21:23:33+00:00,0.16,-0.1395999999999999,-0.6224,3.81759346724942,-1.84,1.08,0.94,ankle,-123.177903727699,49.264437465613355
2022-12-08 21:23:34+00:00,-0.5388461538461539,-0.0955128205128205,0.705,4.146480699068986,-1.97,1.16,1.04,ankle,-123.17790823400976,49.264421915115186
2022-12-08 21:23:35+00:00,0.4334722222222222,-0.5213888888888889,-1.3094444444444444,4.447029449341306,-1.78,0.82,1.05,ankle,-123.17792032175518,49.26440757833014
2022-12-08 21:23:36+00:00,-0.9060256410256412,-0.1993589743589743,0.7403846153846154,4.6460781612949456,-1.22,0.42,0.76,ankle,-123.1779329770825,49.26439538884731
2022-12-08 21:23:37+00:00,0.6883098591549296,-0.2819718309859155,-0.9646478873239436,4.683439770143596,-0.54,-0.12,0.37,ankle,-123.17795159489998,49.26438412112963
2022-12-08 21:23:38+00:00,-1.3007894736842105,-0.5525,1.1180263157894736,4.516450413800547,0.01,-0.5,0.04,ankle,-123.17797128490365,49.26437211615068
2022-12-08 21:23:39+00:00,0.4225675675675676,-0.475,-1.1474324324324323,4.136184110119665,0.22,-0.9,-0.14,ankle,-123.17799256452416,49.264363452068
2022-12-08 21:23:40+00:00,-0.1288157894736842,-0.8571052631578947,1.346578947368421,3.585483163657202,-0.07,-1.44,-0.09,ankle,-123.17801737261173,49.264356696085315
2022-12-08 21:23:41+00:00,-0.0356756756756756,-1.004054054054054,-0.2852702702702702,2.9515872653860007,-0.72,-1.54,0.01,ankle,-123.1780444429812,49.264352368574336
2022-12-08 21:23:42+00:00,0.0478947368421052,-0.4714473684210526,0.0376315789473684,2.3320360538545186,-1.23,-0.78,0.24,ankle,-123.17807505226605,49.264348443434635
2022-12-08 21:23:43+00:00,-0.0552,-0.0550666666666666,0.0674666666666666,1.798641516823872,-1.39,0.15,0.43,ankle,-123.1781043844974,49.26434296258559
2022-12-08 21:23:44+00:00,-0.1458441558441558,0.0861038961038961,-0.0567532467532467,1.3824976332811842,-1.13,0.8,0.51,ankle,-123.1781352020505,49.26433696993121
2022-12-08 21:23:45+00:00,-0.0868493150684931,0.0367123287671232,-0.1201369863013698,1.0792878416476508,-0.63,0.98,0.5,ankle,-123.1781677871411,49.264333350310224
2022-12-08 21:23:46+00:00,-0.1310843373493976,-0.0879518072289156,-0.0210843373493976,0.8629145005901155,-0.06,0.16,0.47,ankle,-123.17819864977665,49.26433055217675
